id;created_at;created_by;deleted_at;deleted_by;updated_at;updated_by;description;name
ADMINISTRATOR;2024-11-16 00:00:00;system;;;;;;Administrator
SECURITY_MANAGER;2024-11-16 00:00:00;system;;;;;;Security Manager
